round,player_id,name,positions,price,score,break_even
4,100006241,Hamish Stewart,2,482000,71,17
4,100001936,Hamiso Tabuai-Fidow,6,650000,40,43
4,505612,Harrison Edwards,2,421000,,54
4,506220,Harrison Graham,1,299000,42,24
4,505904,Harry Grant,1,702000,47,37
4,100006687,Harry Hayes,2,525000,,41
4,508033,Haumole Olakau'atu,3,614000,54,47
4,100011291,Hayden Buchanan,5,350000,13,
4,505828,Hayze Perham,6,250000,,
4,100013780,Heamasi Makasini,5/6,296000,29,-4
4,100006657,Heath Mason,6,250000,,
4,100001946,Heilum Luki,3,487000,56,-31
4,508300,Herbie Farnworth,5,784000,67,63
4,507815,Hohepa Puru,2,244000,,24
4,504074,Hudson Young,3,750000,48,57
4,100013692,Hugo Peel,6,230000,,
4,509599,Hugo Savala,4,450000,9,
4,500534,Isaah Yeo,2,728000,53,53
4,100006093,Isaiah Iongi,6,567000,21,26
4,505976,Isaiah Papali'i,2/3,644000,59,36
4,100006258,Isaiya Katoa,4,660000,48,64
4,509467,Izack Tago,5,466000,,
4,507648,J'maine Hopgood,2,560000,,70
4,100007515,Jack Bostock,6,406000,,
4,502695,Jack Cogger,4,360000,,63
4,500619,Jack De Belin,2,592000,,63
4,500170,Jack Gosiewski,3,319000,,38
4,503336,Jack Hetherington,2,252000,,18
4,100004865,Jack Howarth,5,484000,10,27
4,100009111,Jack Underhill,2,230000,,
4,500339,Jack Wighton,4/5,411000,,30
4,502363,Jack Williams,2/3,653000,36,41
4,505423,Jackson Ford,2,693000,50,14
4,100011655,Jacob Halangahu,3,350000,,
4,100004133,Jacob Kiraz,5/6,641000,49,70
4,100012134,Jacob Laban,3,335000,50,17
4,503449,Jacob Liddle,1,489000,35,53
4,507878,Jacob Preston,3,749000,31,44
4,503523,Jacob Saifiti,2,493000,67,24
4,504301,Jaeman Salmon,2,390000,31,17
4,100012669,Jahream Bula,6,479000,52,47
4,500826,Jahrome Hughes,4,646000,66,33
4,505987,Jaiyden Hunt,2,265000,,
4,505643,Jake Averillo,5,529000,66,14
4,505894,Jake Clifford,4,557000,70,38
4,508629,Jake Simpkin,1,513000,37,43
4,500751,Jake Trbojevic,2,436000,24,35
4,501280,Jake Turpin,1,267000,,
4,501175,Jamal Fogarty,4,664000,49,61
4,502014,Jamayne Isaako,6,501000,73,21
4,502580,James Fisher-Harris,2,643000,46,27
4,100007619,James Schiller,6,421000,,
4,500663,James Tedesco,6,682000,26,52
4,100006585,Jamie Humphreys,4,515000,,46
4,504121,Jarome Luai,4,529000,,24
4,507670,Jason Saab,6,310000,27,48
4,500301,Jason Taumalolo,2,452000,39,26
4,100008940,Jaxon Purdue,4/5,490000,35,16
4,500150,Jayden Berrell,1,250000,,
4,502016,Jayden Brailey,1,342000,13,60
4,100001622,Jayden Campbell,4,783000,71,42
4,507928,Jayden Sullivan,4,253000,,32
4,503528,Jaydn Su'A,3,696000,49,21
4,100006861,Jaylan De Groot,6,250000,,
4,100012912,Jed Stuart,6,300000,,
4,505684,Jensen Taumoepeau,6,230000,,
4,100013303,Jeral Skelton,6,424000,,21
4,100006109,Jeremiah Nanai,3,453000,,
4,502511,Jeremy Marshall-King,1,620000,,
